ID,Condition,Humanness,Harm,Gender,Age,Pain,Experience,Agency,Consciousness,Empathy,Attractiveness
138,3,2,1,1,18,1,3,3,2,4,4
147,3,2,1,2,18,7,6,5,6,6,6
149,3,2,1,1,21,2,4,3,3,3,1
151,3,2,1,2,1,4,4,4,4,5,4
161,3,2,1,2,18,4,3,6,6,5,1
174,3,2,1,2,18,5,3,5,6,4,1
180,3,2,1,2,19,6,6,6,5,4,4
182,3,2,1,1,18,2,1,6,4,2,1
199,3,2,1,2,26,7,6,6,7,6,7
200,3,2,1,2,21,6,4,4,6,4,1
208,3,2,1,2,21,4,4,5,4,4,3
250,3,2,1,2,21,3,5,6,6,7,3
265,3,2,1,1,19,6,4,6,4,3,1
284,3,2,1,1,21,1,1,2,2,1,1
285,3,2,1,1,18,5,5,5,5,5,4
286,3,2,1,2,32,2,2,4,2,4,1
291,3,2,1,2,18,1,1,1,1,1,1
308,3,2,1,2,18,7,3,3,4,5,2
311,3,2,1,NA,19,1,2,3,4,5,1
314,3,2,1,2,18,1,3,5,4,5,1
317,3,2,1,1,44,6,5,4,4,5,4
322,3,2,1,2,18,6,6,5,4,4,4
326,3,2,1,1,35,3,4,5,4,7,6
327,3,2,1,2,19,1,1,3,1,1,1
459,3,2,1,2,21,7,5,6,7,6,6
467,3,2,1,2,18,7,7,6,6,6,4
478,3,2,1,2,31,7,5,5,6,6,1
481,3,2,1,1,21,1,1,5,4,2,1
482,3,2,1,2,19,7,4,5,4,6,3
484,3,2,1,2,21,1,1,1,1,1,1
489,3,2,1,2,20,6,7,3,4,5,1
493,3,2,1,2,19,3,5,5,5,5,2
497,3,2,1,2,21,5,4,4,6,4,3
503,3,2,1,2,22,5,4,4,2,4,4
509,3,2,1,2,18,4,4,4,4,6,2
538,3,2,1,2,18,7,7,7,7,7,5
551,3,2,1,2,32,1,2,4,2,2,2
552,3,2,1,2,25,5,2,5,4,5,4
555,3,2,1,2,27,5,6,5,4,6,5
60,4,2,2,1,22,2,3,5,5,5,2
67,4,2,2,2,1,1,1,1,1,1,1
72,4,2,2,1,44,1,1,1,1,1,3
77,4,2,2,2,1,5,3,4,2,6,4
88,4,2,2,1,18,7,5,6,6,5,1
106,4,2,2,2,34,6,5,5,6,7,5
140,4,2,2,2,18,4,3,5,6,6,3
158,4,2,2,1,28,3,4,6,6,4,3
178,4,2,2,2,38,4,2,3,3,4,4
205,4,2,2,1,20,7,6,6,7,5,1
248,4,2,2,1,32,7,5,5,6,5,1
258,4,2,2,2,18,2,2,4,4,2,1
263,4,2,2,NA,1,5,5,4,4,4,2
270,4,2,2,2,31,4,4,4,4,4,1
275,4,2,2,2,18,5,4,4,4,4,5
276,4,2,2,2,31,1,1,2,1,1,1
288,4,2,2,1,22,6,4,5,1,3,3
292,4,2,2,NA,33,6,6,6,6,6,6
304,4,2,2,2,25,4,4,4,4,4,4
318,4,2,2,1,20,4,4,6,6,4,5
325,4,2,2,2,26,1,1,4,1,2,4
330,4,2,2,2,22,2,1,3,3,2,2
343,4,2,2,2,18,3,2,3,2,3,1
347,4,2,2,2,18,5,5,5,5,7,5
349,4,2,2,1,19,1,2,4,1,3,1
351,4,2,2,2,18,3,3,3,4,5,4
354,4,2,2,1,19,1,2,5,4,3,1
355,4,2,2,1,23,6,6,7,7,6,2
357,4,2,2,2,19,5,3,2,3,4,1
358,4,2,2,2,18,4,4,4,3,6,1
360,4,2,2,1,19,1,1,2,3,2,1
361,4,2,2,1,18,4,2,4,2,2,1
363,4,2,2,NA,18,4,4,4,4,4,1
366,4,2,2,2,18,4,3,4,6,4,4
368,4,2,2,2,18,2,3,4,2,5,1
372,4,2,2,1,19,3,3,4,4,3,1
374,4,2,2,1,19,3,3,3,3,4,2
380,4,2,2,NA,18,1,2,4,4,2,4
381,4,2,2,1,19,1,1,1,1,1,1
382,4,2,2,2,20,1,1,4,2,3,1
384,4,2,2,2,18,1,1,1,1,1,2
385,4,2,2,1,18,1,1,5,4,2,1
386,4,2,2,1,43,1,1,1,1,1,1
387,4,2,2,1,18,1,1,1,1,1,1
388,4,2,2,2,18,5,6,5,2,5,7
390,4,2,2,2,19,2,2,2,2,3,1
393,4,2,2,2,41,1,1,1,2,2,1
413,4,2,2,2,43,4,4,4,4,4,5
415,4,2,2,2,22,5,5,5,5,4,4
419,4,2,2,1,27,4,5,4,4,5,6
422,4,2,2,2,21,7,5,5,1,5,7
424,4,2,2,2,29,1,2,3,4,3,3
426,4,2,2,2,20,3,3,4,2,4,7
427,4,2,2,1,18,1,1,3,2,1,1
428,4,2,2,1,34,1,2,3,3,4,1
431,4,2,2,2,18,1,1,1,2,1,1
432,4,2,2,2,19,1,1,1,1,1,1
433,4,2,2,1,18,4,3,5,4,5,4
434,4,2,2,2,18,1,1,2,3,3,2
435,4,2,2,1,18,1,3,4,2,4,1
436,4,2,2,NA,23,7,4,4,4,4,1
439,4,2,2,1,19,7,5,5,2,5,4
441,4,2,2,2,23,1,1,1,1,1,1
447,4,2,2,1,118,1,1,2,1,1,1
450,4,2,2,1,20,3,3,4,3,4,1
451,4,2,2,2,19,1,1,1,1,1,2
452,4,2,2,2,19,4,3,3,4,4,2
454,4,2,2,2,18,5,5,5,6,4,1
